,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
0,A2M,6.58 ,−0.60%,−0.04 AUD,Neutral,8.606M,56.63M,3.248B USD,38.06,0.12 USD,427,Consumer Non-Durables
1,AAB,2.80 ,−1.41%,−0.04 AUD,Sell,522.556K,1.463M,1.707B USD,8.67,0.22 USD,—,Finance
2,AFI,7.54 ,0.40%,0.03 AUD,Buy,579.666K,4.371M,6.266B USD,24.45,0.21 USD,—,Miscellaneous
3,AGL,6.88 ,−0.29%,−0.02 AUD,Sell,1.499M,10.315M,3.123B USD,—,−0.78 USD,3.897K,Utilities
4,AIA,8.03 ,0.00%,0.00 AUD,Buy,461.249K,3.704M,7.953B USD,145.44,0.04 USD,430,Transportation
5,AIZ,0.715 ,−0.69%,−0.005 AUD,Sell,423.286K,302.649K,1.645B USD,—,−0.02 USD,8.863K,Transportation
6,AKE,11.87 ,4.58%,0.52 AUD,Sell,4.372M,51.89M,4.869B USD,10.62,0.72 USD,1.3K,Non-Energy Minerals
7,ALD,33.18 ,0.67%,0.22 AUD,Buy,1.082M,35.894M,5.284B USD,10.29,2.16 USD,9.3K,Energy Minerals
8,ALL,36.74 ,0.55%,0.20 AUD,Buy,825.612K,30.333M,16.074B USD,25.67,0.91 USD,7.5K,Consumer Services
9,ALQ,12.64 ,−0.39%,−0.05 AUD,Sell,566.192K,7.157M,4.133B USD,23.11,0.35 USD,—,Commercial Services
10,ALU,38.59 ,−1.46%,−0.57 AUD,Buy,259.535K,10.015M,3.468B USD,55.87,0.46 USD,—,Technology Services
11,ALX,6.69 ,−2.19%,−0.15 AUD,Strong Sell,3.033M,20.289M,6.676B USD,31.64,0.15 USD,—,Transportation
12,AMC,16.55 ,0.12%,0.02 AUD,Sell,1.138M,18.828M,16.552B USD,16.26,0.71 USD,44K,Process Industries
13,AMP,1.055 ,1.93%,0.020 AUD,Sell,24.324M,25.662M,2.117B USD,—,−0.00 USD,4.3K,Finance
14,ANN,27.29 ,0.59%,0.16 AUD,Neutral,443.456K,12.102M,2.295B USD,16.38,1.12 USD,14.158K,Producer Manufacturing
15,ANZ,24.37 ,−1.14%,−0.28 AUD,Sell,7.163M,174.551M,49.728B USD,10.69,1.59 USD,39.196K,Finance
16,APA,10.65 ,−0.75%,−0.08 AUD,Strong Sell,2.475M,26.355M,8.516B USD,47.63,0.16 USD,2K,Utilities
17,APE,14.11 ,3.07%,0.42 AUD,Buy,667.318K,9.416M,2.352B USD,11.26,0.82 USD,—,Retail Trade
18,APM,2.39 ,3.46%,0.08 AUD,Sell,1.106M,2.643M,1.425B USD,15.08,0.10 USD,10.3K,Commercial Services
19,ARB,31.21 ,−2.38%,−0.76 AUD,Neutral,104.943K,3.275M,1.763B USD,25.60,0.83 USD,—,Producer Manufacturing
20,ARG,9.07 ,1.23%,0.11 AUD,Sell,182.127K,1.652M,4.528B USD,20.70,0.29 USD,—,Miscellaneous
21,ASX,67.56 ,−0.71%,−0.48 AUD,Strong Sell,575.733K,38.897M,8.861B USD,39.55,1.17 USD,790,Finance
22,AUB,27.10 ,−2.10%,−0.58 AUD,Buy,133.917K,3.629M,1.891B USD,40.96,0.45 USD,—,Finance
23,AWC,1.525 ,1.33%,0.020 AUD,Sell,7.957M,12.134M,2.937B USD,30.88,0.03 USD,—,Non-Energy Minerals
24,AZJ,3.29 ,−0.60%,−0.02 AUD,Sell,16.339M,53.757M,4.098B USD,17.49,0.13 USD,4.917K,Transportation
25,BAP,6.65 ,−0.60%,−0.04 AUD,Buy,526.468K,3.501M,1.527B USD,18.31,0.25 USD,5K,Distribution Services
26,BEN,9.72 ,−0.61%,−0.06 AUD,Sell,1.034M,10.048M,3.727B USD,14.47,0.50 USD,4.652K,Finance
27,BFL,5.15 ,−0.96%,−0.05 AUD,Buy,11.863K,61.094K,1.634B USD,5.49,0.65 USD,883,Finance
28,BHP,46.22 ,2.26%,1.02 AUD,Neutral,8.471M,391.517M,154.003B USD,8.03,3.78 USD,—,Non-Energy Minerals
29,BKL,76.95 ,−3.04%,−2.41 AUD,Sell,24.998K,1.924M,1.038B USD,44.50,1.21 USD,1.2K,Health Technology
30,BKW,24.60 ,−0.40%,−0.10 AUD,Buy,83.371K,2.051M,2.52B USD,4.31,3.97 USD,2.1K,Non-Energy Minerals
31,BLD,3.65 ,0.27%,0.01 AUD,Buy,1.136M,4.148M,2.701B USD,—,−0.08 USD,9.149K,Non-Energy Minerals
32,BOQ,6.90 ,−2.27%,−0.16 AUD,Strong Sell,3.143M,21.684M,3.093B USD,12.18,0.45 USD,3.04K,Finance
33,BPT,1.435 ,1.41%,0.020 AUD,Sell,6.634M,9.52M,2.169B USD,6.53,0.15 USD,—,Energy Minerals
34,BRG,20.68 ,−2.18%,−0.46 AUD,Sell,308.448K,6.379M,2.03B USD,28.58,0.52 USD,—,Consumer Durables
35,BSL,19.82 ,3.99%,0.76 AUD,Strong Buy,2.746M,54.424M,5.941B USD,5.02,2.52 USD,6.7K,Producer Manufacturing
36,BBW,3.86 ,−0.52%,−0.02 AUD,Strong Sell,792.56K,3.059M,1.677B USD,9.98,0.26 USD,—,Finance
37,BXB,13.03 ,1.24%,0.16 AUD,Buy,5.004M,65.197M,12.023B USD,20.06,0.44 USD,12K,Transportation
38,CAR,22.42 ,−1.19%,−0.27 AUD,Sell,511.572K,11.469M,5.363B USD,14.99,1.02 USD,1.7K,Technology Services
39,CBA,99.05 ,−1.63%,−1.64 AUD,Sell,2.589M,256.479M,114.249B USD,18.08,4.02 USD,49.245K,Finance
40,CEN,7.08 ,1.87%,0.13 AUD,Buy,1.303K,9.225K,3.708B USD,143.54,0.03 USD,1.082K,Utilities
41,CGF,7.48 ,−0.13%,−0.01 AUD,Strong Buy,2.04M,15.261M,3.429B USD,56.37,0.09 USD,770,Finance
42,CCH,13.00 ,−2.33%,−0.31 AUD,Sell,1.491M,19.385M,4.235B USD,10.26,0.89 USD,—,Finance
