,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
0,A2M,7.00,1.16%,0.08AUD,Buy,1.927M,13.488M,3.486BUSD,46.43,0.10USD,427,Consumer Non-Durables
1,AAB,2.69,0.75%,0.02AUD,Buy,909.072K,2.445M,1.662BUSD,4.37,0.42USD,—,Finance
2,AFI,7.52,−0.40%,−0.03AUD,Buy,172.819K,1.3M,6.498BUSD,25.68,0.20USD,—,Miscellaneous
3,AGL,7.79,0.13%,0.01AUD,Sell,774.305K,6.032M,3.646BUSD,5.92,0.91USD,3.897K,Utilities
4,AIA,7.55,0.94%,0.07AUD,Buy,993.228K,7.499M,7.642BUSD,63.61,0.08USD,430,Transportation
5,AIZ,0.710,2.16%,0.015AUD,Buy,252.814K,179.498K,1.636BUSD,—,−0.15USD,8.863K,Transportation
6,AKE,12.47,−1.81%,−0.23AUD,Neutral,2.247M,28.025M,5.641BUSD,18.90,0.46USD,1.3K,Non-Energy Minerals
7,ALD,28.04,1.63%,0.45AUD,Buy,607.593K,17.037M,4.58BUSD,7.10,2.69USD,8.3K,Energy Minerals
8,ALL,33.20,3.88%,1.24AUD,Buy,2.149M,71.355M,14.595BUSD,22.45,0.91USD,7.5K,Consumer Services
9,ALQ,12.60,1.37%,0.17AUD,Strong Buy,580.018K,7.308M,4.192BUSD,22.87,0.35USD,—,Commercial Services
10,ALU,35.99,0.50%,0.18AUD,Buy,260.272K,9.367M,3.284BUSD,61.81,0.40USD,—,Technology Services
11,ALX,6.78,0.74%,0.05AUD,Buy,4.171M,28.282M,6.801BUSD,32.96,0.14USD,—,Transportation
12,AMC,17.45,−1.36%,−0.24AUD,Strong Sell,1.792M,31.263M,18.166BUSD,22.82,0.50USD,44K,Process Industries
13,AMP,1.345,0.00%,0.000AUD,Buy,15.126M,20.344M,2.862BUSD,—,−0.06USD,4.1K,Finance
14,ANN,28.64,−1.55%,−0.45AUD,Buy,362.047K,10.369M,2.548BUSD,17.03,1.19USD,14.158K,Producer Manufacturing
15,ANZ,24.49,0.99%,0.24AUD,Strong Buy,5.787M,141.734M,50.659BUSD,10.44,1.59USD,39.196K,Finance
16,APA,10.45,−0.76%,−0.08AUD,Sell,1.278M,13.359M,8.655BUSD,53.97,0.13USD,2K,Utilities
17,APE,11.78,0.68%,0.08AUD,Buy,147.191K,1.734M,2.081BUSD,10.24,0.79USD,—,Retail Trade
18,APM,2.40,0.42%,0.01AUD,Sell,682.303K,1.638M,1.527BUSD,53.35,0.03USD,10.3K,Commercial Services
19,ARB,29.02,1.29%,0.37AUD,Buy,104.743K,3.04M,1.636BUSD,19.18,1.03USD,—,Producer Manufacturing
20,ARG,9.11,0.00%,0.00AUD,Buy,94.16K,857.798K,4.778BUSD,21.32,0.29USD,—,Miscellaneous
21,ASX,67.72,−0.40%,−0.27AUD,Neutral,362.806K,24.569M,9.169BUSD,25.88,1.81USD,790,Finance
22,AUB,22.94,−0.99%,−0.23AUD,Buy,116.476K,2.672M,1.639BUSD,22.19,0.72USD,—,Finance
23,AWC,1.670,0.91%,0.015AUD,Strong Buy,8.213M,13.716M,3.344BUSD,12.32,0.09USD,—,Non-Energy Minerals
24,AZJ,3.72,−0.27%,−0.01AUD,Neutral,3.812M,14.181M,4.782BUSD,13.41,0.19USD,4.917K,Transportation
25,BAP,6.65,−1.34%,−0.09AUD,Buy,704.831K,4.687M,1.594BUSD,18.26,0.26USD,5K,Distribution Services
26,BEN,10.08,1.31%,0.13AUD,Strong Buy,1.806M,18.208M,3.926BUSD,12.81,0.61USD,4.652K,Finance
27,BFL,4.85,0.00%,0.00AUD,Sell,1.474K,7.149K,1.578BUSD,5.66,0.59USD,772,Finance
28,BHP,49.64,0.53%,0.26AUD,Buy,8.52M,422.928M,174.22BUSD,7.97,4.28USD,—,Non-Energy Minerals
29,BKW,23.42,1.34%,0.31AUD,Strong Buy,99.231K,2.324M,2.442BUSD,4.12,3.97USD,2.1K,Non-Energy Minerals
30,BLD,3.27,2.83%,0.09AUD,Strong Buy,2.507M,8.198M,2.443BUSD,—,−0.11USD,9.149K,Non-Energy Minerals
31,BOQ,7.05,1.00%,0.07AUD,Buy,1.799M,12.682M,3.167BUSD,12.01,0.45USD,3.04K,Finance
32,BPT,1.610,0.94%,0.015AUD,Neutral,4.787M,7.708M,2.531BUSD,7.27,0.15USD,—,Energy Minerals
33,BRG,20.26,0.15%,0.03AUD,Buy,124.692K,2.526M,2.012BUSD,26.86,0.52USD,—,Consumer Durables
34,BSL,18.37,−0.00%,−0.00AUD,Buy,1.569M,28.824M,5.937BUSD,3.24,3.94USD,6.7K,Producer Manufacturing
35,BBW,3.97,−0.25%,−0.01AUD,Sell,675.322K,2.681M,1.781BUSD,5.25,0.52USD,—,Finance
36,BXB,11.68,−0.26%,−0.03AUD,Sell,2.579M,30.124M,11.328BUSD,20.34,0.40USD,12K,Transportation
37,CAR,22.25,1.74%,0.38AUD,Strong Buy,760.631K,16.924M,5.352BUSD,38.98,0.39USD,1.7K,Technology Services
38,CBA,106.50,1.25%,1.32AUD,Strong Buy,1.929M,205.491M,123.582BUSD,17.72,4.31USD,49.245K,Finance
39,CEN,7.23,0.70%,0.05AUD,Buy,30,217,3.885BUSD,34.03,0.15USD,1.082K,Utilities
40,CGF,7.77,0.26%,0.02AUD,Buy,585.419K,4.549M,3.674BUSD,26.02,0.26USD,770,Finance
41,CCH,12.91,2.30%,0.29AUD,Buy,1.225M,15.813M,4.158BUSD,6.61,1.34USD,—,Finance
42,CHN,6.74,−1.32%,−0.09AUD,Buy,1.203M,8.109M,1.791BUSD,—,−0.03USD,—,Non-Energy Minerals
43,CIA,7.68,−0.13%,−0.01AUD,Buy,1.443M,11.079M,2.77BUSD,15.09,0.33USD,—,Non-Energy Minerals
44,CCI,3.20,−0.62%,−0.02AUD,Strong Buy,792.347K,2.536M,1.424BUSD,5.25,0.42USD,—,Finance
45,CCL,4.56,0.66%,0.03AUD,Strong Buy,1.464M,6.674M,2.281BUSD,3.31,0.94USD,—,Finance
46,CCM,5.02,−0.79%,−0.04AUD,Buy,1.108M,5.562M,1.321BUSD,21.16,0.17USD,—,Non-Energy Minerals
47,CCM,0.695,0.00%,0.000AUD,Buy,1.013M,704.301K,1.268BUSD,6.94,0.07USD,440,Finance
48,CNU,7.56,1.20%,0.09AUD,Buy,252.815K,1.911M,2.31BUSD,74.52,0.09USD,799,Communications
49,COH,207.80,−0.29%,−0.61AUD,Buy,104.974K,21.814M,9.55BUSD,47.41,3.03USD,4.5K,Health Technology
50,COL,16.69,−0.89%,−0.15AUD,Sell,2.202M,36.748M,15.7BUSD,21.42,0.54USD,120K,Retail Trade
51,CPU,24.10,−1.11%,−0.27AUD,Sell,1.464M,35.279M,10.249BUSD,46.90,0.36USD,14.12K,Technology Services
52,CCQ,3.90,0.00%,0.00AUD,Sell,568.96K,2.219M,1.579BUSD,3.40,0.79USD,—,Finance
53,CRN,2.03,1.50%,0.03AUD,Buy,2.469M,5.013M,2.336BUSD,2.62,0.49USD,1.577K,Energy Minerals
54,CSL,282.98,0.56%,1.57AUD,Sell,608.968K,172.326M,94.526BUSD,42.77,4.62USD,30K,Health Technology
55,CSR,5.09,1.39%,0.07AUD,Buy,1.245M,6.338M,1.671BUSD,11.21,0.29USD,2.573K,Producer Manufacturing
56,CTD,16.66,−0.06%,−0.01AUD,Buy,403.912K,6.729M,1.699BUSD,936.52,0.01USD,2.99K,Commercial Services
57,CWY,2.67,0.38%,0.01AUD,Neutral,1.754M,4.684M,4.125BUSD,69.63,0.03USD,6.6K,Industrial Services
58,CXO,1.135,−4.62%,−0.055AUD,Sell,14.32M,16.254M,1.531BUSD,—,−0.00USD,—,Non-Energy Minerals
59,DDR,10.78,−1.19%,−0.13AUD,Buy,82.234K,886.483K,1.369BUSD,24.89,0.30USD,694,Retail Trade
60,DEG,1.530,1.66%,0.025AUD,Strong Buy,4.533M,6.936M,1.637BUSD,—,−0.01USD,—,Non-Energy Minerals
61,DHG,3.00,2.74%,0.08AUD,Buy,1.243M,3.73M,1.285BUSD,49.83,0.04USD,1.125K,Technology Services
62,DMP,71.80,4.47%,3.07AUD,Strong Buy,314.087K,22.551M,4.265BUSD,37.58,1.27USD,743,Consumer Services
63,DOW,3.93,1.03%,0.04AUD,Neutral,6.837M,26.87M,1.816BUSD,18.38,0.15USD,33K,Industrial Services
64,DRR,4.73,−1.25%,−0.06AUD,Buy,805.105K,3.808M,1.763BUSD,14.19,0.23USD,8,Miscellaneous
65,DDX,8.02,−0.00%,−0.00AUD,Buy,4.192M,33.618M,6.009BUSD,5.41,1.04USD,647,Finance
66,EBO,41.71,−0.67%,−0.28AUD,Buy,9.338K,389.488K,5.559BUSD,38.04,0.76USD,3K,Health Technology
67,EDV,6.30,−1.87%,−0.12AUD,Sell,3.546M,22.34M,8.009BUSD,23.23,0.19USD,28K,Retail Trade
68,ELD,9.91,0.10%,0.01AUD,Sell,609.108K,6.036M,1.079BUSD,9.51,0.67USD,2.5K,Process Industries
